place,toPlace,lat,lng,oldPlace,num
Philadelphia,Philadelphia,39.9525839,-75.1652215,,0
Prag,Prag,50.0755381,14.4378005,,0
Prenzlau,Prenzlau,53.3173433,13.8633409,,0
Rappenau,Bad Rappenau,49.240169,9.1020153,,0
Recklinghausen,Recklinghausen,51.6140649,7.1979453,,0
Regensburg [u.a.],Regensburg,49.0134297,12.1016236,,0
Rodenberg,Rodenberg,52.3123137,9.3570771,,0
Rostock i. M.,Rostock,54.0924406,12.0991466,,0
Rudolstadt,Rudolstadt,50.7182972,11.3336548,,0
Ruhrort,Ruhrort,51.4499282,6.7483238,,0
Saalfeld,Saalfeld/Saale,50.6492736,11.3661502,,0
Saarbrücken,Saarbrücken,49.2401572,6.9969327,,0
Schweidnitz,Świdnica,50.8498434,16.475679,Schweidnitz,0
Schwelm,Schwelm,51.2882674,7.291086,,0
Schwerin,Schwerin,53.6355022,11.4012499,,0
Schwerin i. M.,Schwerin,53.6355022,11.4012499,,0
Solingen,Solingen,51.1702072,7.0831408,,0
Speyer a.Rh.,Speyer,49.3172765,8.4412172,,0
Stadthagen,Stadthagen,52.3252099,9.1998226,,0
Stolberg (Rheinl.),Stolberg,50.7730884,6.2251934,,0
Stolp,Słupsk,54.464148,17.0284824,Stolp,0
Straßburg i. E.,Straßburg,48.5734053,7.7521113,,0
Straßburg i. E. [u.a.],Straßburg,48.5734053,7.7521113,,0
Straubing,Straubing,48.8777333,12.5801538,,0
Striegau,Strzegom,50.9800804,16.3203424,Striegau,0
Stuttgart [u.a.],Stuttgart,48.7758459,9.1829321,,0
Sulzbach,Sulzbach an der Murr,49.003352,9.5025263,Sulzbach,0
Tauberbischofsheim,Tauberbischofsheim,49.6263199,9.6559606,,0
Thorn,Toruń,53.0137902,18.5984437,Thorn,0
Tönning a. d. Eider,Tönning,54.3157227,8.9381144,,0
Ulm,Ulm,32.528282,-92.073415,,0
Verl. der Buchh. des Waisenhauses,Halle (Saale),51.4969802,11.9688029,,0
Vohwinkel,Vohwinkel,51.2337172,7.0645395,,0
W Budéschiie,Bautzen,51.182293,14.4237749,,0
Waldenburg,Wałbrzych,50.7840092,16.2843553,Waldenburg,0
Weinheim (Baden),Weinheim,49.544964,8.6602703,,0
Weißenfels,Weißenfels,51.1972771,11.9689146,,0
Werl,Werl,51.5583773,7.9114426,,0
Wernigerode,Wernigerode,51.8368113,10.7844266,,0
Wittlich [u.a.],Wittlich,49.986944,6.889722,,0
Würzburg [u.a.],Würzburg,49.7913044,9.9533548,,0
Wurzen,Wurzen,51.3698806,12.7436557,,0
